receipt_date,item,origin,destination,amount,units,price_per_pound
4/7/2013,Electromagnetic discharge filter,Cratertown,Raiders,7788,Tons,188.28
4/8/2013,Sublight engine,Outskirts,Niima Outpost,10642,Tons,7211.01
4/9/2013,Sublight drive,Cratertown,Niima Outpost,20652,Tons,420.36
4/10/2013,Landing jet,Blowback Town,Raiders,2252,Tons,1496.74
4/11/2013,Flight recorder,Blowback Town,Trade caravan,5428,Tons,590.93
4/12/2013,Sublight engine,Outskirts,Raiders,2377,Tons,7211.01
4/13/2013,Sublight engine,Cratertown,Raiders,6310,Tons,7211.01
4/14/2013,Sublight engine,Tuanul,Trade caravan,3984,Tons,7211.01
4/15/2013,Ion engine,Blowback Town,Niima Outpost,2356,Tons,1605.85
4/16/2013,Electromagnetic discharge filter,Reestki,Niima Outpost,150,Tons,188.28
4/17/2013,Vitus-Series Attitude Thrusters,Cratertown,Raiders,1051,Tons,225.54
4/18/2013,Maneuvering jet,Tuanul,Trade caravan,690,Tons,2167.84
4/19/2013,Lateral thruster,Outskirts,Niima Outpost,20739,Tons,1570.65
4/20/2013,Navigation computer,Cratertown,Niima Outpost,11270,Tons,259.56
4/21/2013,Hyperdrive motivator,Reestki,Raiders,7392,Tons,1485.28
4/22/2013,Proximity sensor,Blowback Town,Raiders,10083,Tons,1229.03
4/23/2013,Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,5785,Tons,225.54
4/24/2013,Flight recorder,Cratertown,Trade caravan,2791,Tons,590.93
4/25/2013,Navigation computer,Blowback Town,Raiders,3508,Tons,259.56
4/26/2013,Ion engine,Tuanul,Trade caravan,3439,Tons,1605.85
4/27/2013,Hyperdrive motivator,Outskirts,Niima Outpost,1546,Tons,1485.28
4/28/2013,Navigation computer,Tuanul,Niima Outpost,7187,Tons,259.56
4/29/2013,Flight recorder,Tuanul,Trade caravan,12768,Tons,590.93
4/30/2013,Lateral thruster,Cratertown,Raiders,7482,Tons,1570.65
5/1/2013,Retrorocket,Cratertown,Niima Outpost,4275,Tons,588.68
5/2/2013,Navigation computer,Blowback Town,Raiders,8308,Tons,259.56
5/3/2013,Lateral thruster,Blowback Town,Niima Outpost,7883,Tons,1570.65
5/4/2013,Retrorocket,Reestki,Niima Outpost,9288,Tons,588.68
5/5/2013,Ion engine,Tuanul,Raiders,6577,Tons,1605.85
5/6/2013,Landing jet,Outskirts,Niima Outpost,65,Tons,1496.74
5/7/2013,Sublight drive,Reestki,Raiders,211,Tons,420.36
5/8/2013,Dedicated energy receptor,Cratertown,Niima Outpost,5763,Tons,281.01
5/9/2013,Electromagnetic discharge filter,Cratertown,Raiders,3650,Tons,188.28
5/10/2013,Vitus-Series Attitude Thrusters,Tuanul,Trade caravan,7145,Tons,225.54
5/11/2013,Lateral thruster,Tuanul,Niima Outpost,4312,Tons,1570.65
5/12/2013,Sublight engine,Cratertown,Raiders,299,Tons,7211.01
5/13/2013,Ion engine,Blowback Town,Niima Outpost,895,Tons,1605.85
5/14/2013,Turbo injector,Tuanul,Trade caravan,2728,Tons,845.72
5/15/2013,Landing jet,Reestki,Niima Outpost,5192,Tons,1496.74
5/16/2013,Hyperdrive motivator,Reestki,Raiders,1441,Tons,1485.28
5/17/2013,Retrorocket,Blowback Town,Niima Outpost,6672,Tons,588.68
5/18/2013,Dedicated energy receptor,Reestki,Trade caravan,2980,Tons,281.01
5/19/2013,Aural sensor,Outskirts,Niima Outpost,3005,Tons,145.27
5/20/2013,Aural sensor,Tuanul,Raiders,6204,Tons,145.27
5/22/2013,Maneuvering jet,Reestki,Raiders,15578,Tons,2167.84
5/23/2013,Sublight drive,Reestki,Trade caravan,988,Tons,420.36
11/29/2014,Dedicated energy receptor,Cratertown,Niima Outpost,2358,Tons,281.01
12/1/2014,Turbo injector,Outskirts,Raiders,2136,Tons,845.72
12/2/2014,Navigation computer,Cratertown,Trade caravan,12390,Tons,259.56
12/3/2014,Maneuvering jet,Tuanul,Niima Outpost,9444,Tons,2167.84
12/4/2014,Maneuvering jet,Reestki,Trade caravan,477,Tons,2167.84
12/5/2014,Sublight drive,Tuanul,Niima Outpost,5070,Tons,420.36
12/8/2014,Lateral thruster,Tuanul,Raiders,10643,Tons,1570.65
12/9/2014,Flight recorder,Reestki,Trade caravan,2330,Tons,590.93
12/10/2014,Reactant agitator injector,Reestki,Raiders,20834,Tons,790.68
12/11/2014,Aural sensor,Tuanul,Raiders,3120,Tons,145.27
12/12/2014,Lateral thruster,Reestki,Trade caravan,696,Tons,1570.65
12/15/2014,Turbo injector,Blowback Town,Niima Outpost,4943,Tons,845.72
12/16/2014,Turbo injector,Reestki,Raiders,6392,Tons,845.72
12/17/2014,Landing jet,Tuanul,Trade caravan,6913,Tons,1496.74
12/18/2014,Proximity sensor,Reestki,Trade caravan,22294,Tons,1229.03
12/19/2014,Aural sensor,Blowback Town,Niima Outpost,2312,Tons,145.27
12/22/2014,Retrorocket,Cratertown,Niima Outpost,9339,Tons,588.68
12/23/2014,Sublight drive,Blowback Town,Raiders,1424,Tons,420.36
12/24/2014,Retrorocket,Blowback Town,Trade caravan,3466,Tons,588.68
12/25/2014,Sublight engine,Blowback Town,Raiders,8582,Tons,7211.01
12/26/2014,Hyperdrive motivator,Blowback Town,Trade caravan,16489,Tons,1485.28
12/29/2014,Ion engine,Reestki,Niima Outpost,2735,Tons,1605.85
12/30/2014,Electromagnetic discharge filter,Tuanul,Raiders,5088,Tons,188.28
12/31/2014,Hyperdrive motivator,Blowback Town,Raiders,4012,Tons,1485.28
1/1/2015,Retrorocket,Tuanul,Trade caravan,17320,Tons,588.68
1/2/2015,Aural sensor,Outskirts,Trade caravan,6272,Tons,145.27
1/5/2015,Navigation computer,Reestki,Raiders,1826,Tons,259.56
1/6/2015,Turbo injector,Tuanul,Trade caravan,4158,Tons,845.72
1/7/2015,Retrorocket,Tuanul,Raiders,2055,Tons,588.68
1/8/2015,Reactant agitator injector,Cratertown,Niima Outpost,11452,Tons,790.68
1/9/2015,Vitus-Series Attitude Thrusters,Cratertown,Raiders,914,Tons,225.54
1/12/2015,Reactant agitator injector,Blowback Town,Raiders,4343,Tons,790.68
1/13/2015,Proximity sensor,Cratertown,Trade caravan,1392,Tons,1229.03
1/14/2015,Proximity sensor,Blowback Town,Raiders,444,Tons,1229.03
1/15/2015,Navigation computer,Tuanul,Trade caravan,5397,Tons,259.56
1/16/2015,Lateral thruster,Blowback Town,Niima Outpost,6878,Tons,1570.65
1/19/2015,Reactant agitator injector,Reestki,Trade caravan,1544,Tons,790.68
1/20/2015,Maneuvering jet,Tuanul,Raiders,346,Tons,2167.84
1/21/2015,Vitus-Series Attitude Thrusters,Blowback Town,Raiders,5592,Tons,225.54
1/22/2015,Electromagnetic discharge filter,Cratertown,Niima Outpost,13978,Tons,188.28
1/23/2015,Sublight drive,Outskirts,Raiders,214,Tons,420.36
1/26/2015,Lateral thruster,Cratertown,Trade caravan,10656,Tons,1570.65
1/27/2015,Dedicated energy receptor,Blowback Town,Niima Outpost,129,Tons,281.01
1/28/2015,Navigation computer,Cratertown,Raiders,1421,Tons,259.56
1/29/2015,Maneuvering jet,Tuanul,Trade caravan,4194,Tons,2167.84
1/30/2015,Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,15258,Tons,225.54
2/2/2015,Flight recorder,Cratertown,Niima Outpost,2453,Tons,590.93
2/3/2015,Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,4164,Tons,225.54
2/4/2015,Lateral thruster,Reestki,Niima Outpost,4932,Tons,1570.65
2/5/2015,Turbo injector,Blowback Town,Trade caravan,256,Tons,845.72
2/6/2015,Hyperdrive motivator,Blowback Town,Niima Outpost,968,Tons,1485.28
2/9/2015,Aural sensor,Reestki,Raiders,2421,Tons,145.27
2/10/2015,Lateral thruster,Cratertown,Trade caravan,289,Tons,1570.65
2/11/2015,Vitus-Series Attitude Thrusters,Tuanul,Niima Outpost,3664,Tons,225.54
2/12/2015,Flight recorder,Outskirts,Trade caravan,1692,Tons,590.93
2/13/2015,Electromagnetic discharge filter,Reestki,Niima Outpost,9442,Tons,188.28
2/16/2015,Proximity sensor,Outskirts,Raiders,10494,Tons,1229.03
2/17/2015,Flight recorder,Cratertown,Niima Outpost,381,Tons,590.93
2/18/2015,Retrorocket,Tuanul,Trade caravan,566,Tons,588.68
2/19/2015,Turbo injector,Cratertown,Trade caravan,2799,Tons,845.72
2/20/2015,Proximity sensor,Reestki,Niima Outpost,9661,Tons,1229.03
2/23/2015,Turbo injector,Outskirts,Niima Outpost,3575,Tons,845.72
2/24/2015,Ion engine,Tuanul,Raiders,1036,Tons,1605.85
2/25/2015,Sublight drive,Cratertown,Niima Outpost,3169,Tons,420.36
2/26/2015,Dedicated energy receptor,Cratertown,Trade caravan,1278,Tons,281.01
2/27/2015,Turbo injector,Tuanul,Trade caravan,1228,Tons,845.72
3/2/2015,Proximity sensor,Cratertown,Trade caravan,18141,Tons,1229.03
3/3/2015,Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,7916,Tons,225.54
3/4/2015,Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,1011,Tons,225.54
3/5/2015,Ion engine,Outskirts,Niima Outpost,1537,Tons,1605.85
3/6/2015,Electromagnetic discharge filter,Blowback Town,Trade caravan,10998,Tons,188.28
3/9/2015,Dedicated energy receptor,Tuanul,Trade caravan,5110,Tons,281.01
3/10/2015,Sublight engine,Cratertown,Raiders,1768,Tons,7211.01
3/11/2015,Electromagnetic discharge filter,Tuanul,Trade caravan,8142,Tons,188.28
3/12/2015,Landing jet,Outskirts,Raiders,185,Tons,1496.74
3/13/2015,Electromagnetic discharge filter,Blowback Town,Trade caravan,3788,Tons,188.28
3/16/2015,Lateral thruster,Blowback Town,Raiders,2956,Tons,1570.65
3/17/2015,Aural sensor,Cratertown,Raiders,3482,Tons,145.27
3/18/2015,Sublight engine,Outskirts,Niima Outpost,130,Tons,7211.01
3/19/2015,Electromagnetic discharge filter,Cratertown,Trade caravan,2698,Tons,188.28
3/20/2015,Vitus-Series Attitude Thrusters,Blowback Town,Niima Outpost,1735,Tons,225.54
3/23/2015,Landing jet,Tuanul,Trade caravan,18423,Tons,1496.74
3/24/2015,Aural sensor,Tuanul,Niima Outpost,3519,Tons,145.27
3/25/2015,Dedicated energy receptor,Cratertown,Raiders,2470,Tons,281.01
3/26/2015,Ion engine,Tuanul,Trade caravan,4378,Tons,1605.85
3/27/2015,Navigation computer,Blowback Town,Niima Outpost,1601,Tons,259.56
3/30/2015,Aural sensor,Cratertown,Raiders,11105,Tons,145.27
3/31/2015,Retrorocket,Blowback Town,Trade caravan,778,Tons,588.68
4/1/2015,Reactant agitator injector,Cratertown,Trade caravan,6767,Tons,790.68
4/2/2015,Navigation computer,Reestki,Niima Outpost,7429,Tons,259.56
4/3/2015,Turbo injector,Tuanul,Niima Outpost,5654,Tons,845.72
4/6/2015,Aural sensor,Tuanul,Niima Outpost,4937,Tons,145.27
4/7/2015,Ion engine,Cratertown,Raiders,1021,Tons,1605.85
4/8/2015,Maneuvering jet,Outskirts,Raiders,580,Tons,2167.84
4/9/2015,Dedicated energy receptor,Blowback Town,Trade caravan,6320,Tons,281.01
4/10/2015,Reactant agitator injector,Cratertown,Niima Outpost,3247,Tons,790.68
4/13/2015,Flight recorder,Tuanul,Niima Outpost,8226,Tons,590.93
4/14/2015,Lateral thruster,Outskirts,Raiders,1389,Tons,1570.65
4/15/2015,Reactant agitator injector,Cratertown,Niima Outpost,1286,Tons,790.68
4/16/2015,Maneuvering jet,Blowback Town,Trade caravan,11979,Tons,2167.84
4/17/2015,Sublight engine,Reestki,Niima Outpost,11609,Tons,7211.01
4/20/2015,Flight recorder,Tuanul,Raiders,2835,Tons,590.93
4/21/2015,Turbo injector,Reestki,Niima Outpost,6031,Tons,845.72
4/22/2015,Maneuvering jet,Cratertown,Niima Outpost,385,Tons,2167.84
4/23/2015,Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,14026,Tons,225.54
4/24/2015,Maneuvering jet,Outskirts,Trade caravan,8370,Tons,2167.84
4/27/2015,Proximity sensor,Outskirts,Niima Outpost,4438,Tons,1229.03
4/28/2015,Dedicated energy receptor,Blowback Town,Niima Outpost,4245,Tons,281.01
4/29/2015,Aural sensor,Cratertown,Niima Outpost,10755,Tons,145.27
4/30/2015,Hyperdrive motivator,Reestki,Trade caravan,7345,Tons,1485.28
5/1/2015,Sublight engine,Tuanul,Niima Outpost,1559,Tons,7211.01
5/4/2015,Navigation computer,Tuanul,Niima Outpost,4760,Tons,259.56
5/5/2015,Aural sensor,Outskirts,Raiders,582,Tons,145.27
5/6/2015,Reactant agitator injector,Tuanul,Trade caravan,5658,Tons,790.68
5/7/2015,Hyperdrive motivator,Blowback Town,Raiders,2844,Tons,1485.28
5/8/2015,Vitus-Series Attitude Thrusters,Blowback Town,Trade caravan,652,Tons,225.54
5/11/2015,Sublight engine,Blowback Town,Raiders,1753,Tons,7211.01
5/12/2015,Maneuvering jet,Outskirts,Trade caravan,7453,Tons,2167.84
5/13/2015,Reactant agitator injector,Cratertown,Raiders,4336,Tons,790.68
5/14/2015,Navigation computer,Outskirts,Niima Outpost,8194,Tons,259.56
5/15/2015,Dedicated energy receptor,Cratertown,Raiders,3967,Tons,281.01
5/18/2015,Reactant agitator injector,Reestki,Trade caravan,7899,Tons,790.68
5/19/2015,Dedicated energy receptor,Cratertown,Trade caravan,26167,Tons,281.01
5/20/2015,Turbo injector,Reestki,Raiders,986,Tons,845.72
5/21/2015,Reactant agitator injector,Tuanul,Raiders,5015,Tons,790.68
5/22/2015,Electromagnetic discharge filter,Reestki,Niima Outpost,386,Tons,188.28
5/25/2015,Ion engine,Tuanul,Trade caravan,6793,Tons,1605.85
5/26/2015,Ion engine,Tuanul,Trade caravan,776,Tons,1605.85
5/27/2015,Hyperdrive motivator,Outskirts,Trade caravan,1124,Tons,1485.28
5/28/2015,Sublight drive,Blowback Town,Trade caravan,2625,Tons,420.36
5/29/2015,Reactant agitator injector,Outskirts,Trade caravan,7042,Tons,790.68
6/1/2015,Retrorocket,Tuanul,Raiders,2840,Tons,588.68
6/2/2015,Ion engine,Cratertown,Raiders,12539,Tons,1605.85
6/3/2015,Flight recorder,Blowback Town,Trade caravan,3364,Tons,590.93
6/4/2015,Sublight engine,Blowback Town,Niima Outpost,8729,Tons,7211.01
6/5/2015,Flight recorder,Tuanul,Trade caravan,4935,Tons,590.93
6/8/2015,Retrorocket,Outskirts,Niima Outpost,1052,Tons,588.68
6/9/2015,Reactant agitator injector,Cratertown,Raiders,6471,Tons,790.68
6/10/2015,Retrorocket,Outskirts,Raiders,219,Tons,588.68
6/11/2015,Dedicated energy receptor,Reestki,Niima Outpost,170,Tons,281.01
6/12/2015,Vitus-Series Attitude Thrusters,Reestki,Trade caravan,2278,Tons,225.54
6/15/2015,Ion engine,Cratertown,Niima Outpost,12007,Tons,1605.85
6/16/2015,Turbo injector,Tuanul,Niima Outpost,4491,Tons,845.72
6/17/2015,Retrorocket,Tuanul,Niima Outpost,1441,Tons,588.68
6/18/2015,Hyperdrive motivator,Outskirts,Raiders,10799,Tons,1485.28
6/19/2015,Electromagnetic discharge filter,Cratertown,Trade caravan,1298,Tons,188.28
6/22/2015,Maneuvering jet,Reestki,Niima Outpost,8757,Tons,2167.84
6/23/2015,Electromagnetic discharge filter,Blowback Town,Trade caravan,2498,Tons,188.28
6/24/2015,Aural sensor,Reestki,Niima Outpost,4087,Tons,145.27
6/25/2015,Reactant agitator injector,Tuanul,Raiders,10331,Tons,790.68
6/26/2015,Electromagnetic discharge filter,Reestki,Raiders,2115,Tons,188.28
6/29/2015,Lateral thruster,Outskirts,Niima Outpost,936,Tons,1570.65
6/30/2015,Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,570,Tons,225.54
7/1/2015,Ion engine,Blowback Town,Raiders,7453,Tons,1605.85
7/2/2015,Proximity sensor,Blowback Town,Trade caravan,7920,Tons,1229.03
7/3/2015,Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,6277,Tons,225.54
7/6/2015,Retrorocket,Tuanul,Trade caravan,9167,Tons,588.68
7/7/2015,Proximity sensor,Tuanul,Niima Outpost,5565,Tons,1229.03
7/8/2015,Dedicated energy receptor,Reestki,Raiders,4069,Tons,281.01
7/9/2015,Navigation computer,Tuanul,Trade caravan,4510,Tons,259.56
7/10/2015,Sublight engine,Cratertown,Trade caravan,431,Tons,7211.01
7/13/2015,Flight recorder,Reestki,Trade caravan,8052,Tons,590.93
7/14/2015,Landing jet,Cratertown,Niima Outpost,4111,Tons,1496.74
7/15/2015,Reactant agitator injector,Tuanul,Raiders,3208,Tons,790.68
7/16/2015,Lateral thruster,Tuanul,Trade caravan,15295,Tons,1570.65
7/17/2015,Navigation computer,Outskirts,Niima Outpost,2919,Tons,259.56
7/20/2015,Lateral thruster,Tuanul,Niima Outpost,3455,Tons,1570.65
